"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:54 GMT 2024","320","Image Registration","Submitting an image with valid inputs using enter key","","","","When I enter ""Humanoide E.T"" in the title field",""
"passed","Wed Apr 17 21:42:55 GMT 2024","Wed Apr 17 21:42:55 GMT 2024","55","Image Registration","Submitting an image and updating the list","","","","Given I am on the image registration page",""
"passed","Wed Apr 17 21:42:55 GMT 2024","Wed Apr 17 21:42:55 GMT 2024","113","Image Registration","Submitting an image and updating the list","","","","Then I have entered ""https://storage.googleapis.com/pai-images/8eb10978927d49fbbb3e9650855e55a5.jpeg"" in the URL field",""
"passed","Wed Apr 17 21:42:54 GMT 2024","Wed Apr 17 21:42:54 GMT 2024","161","Image Registration","Submitting an image with valid inputs using enter key","","","","When I enter ""https://static.vecteezy.com/ti/fotos-gratis/t1/22911203-estrangeiro-humanoide-retrato-em-sombrio-fundo-invasao-do-extraterrestre-estrangeiro-rapto-criada-com-generativo-ai-gratis-foto.jpg"" in the URL field",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","74","Image Registration","Submitting an image with valid inputs using enter key","","","","Given I am on the image registration page",""
"passed","Wed Apr 17 21:42:57 GMT 2024","Wed Apr 17 21:42:57 GMT 2024","242","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Then I should still see the submitted image in the list of registered images",""
"passed","Wed Apr 17 21:42:55 GMT 2024","Wed Apr 17 21:42:55 GMT 2024","360","Image Registration","Submitting an image and updating the list","","","","Then I have entered ""Alien Glass Statue"" in the title field",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","113","Image Registration","Submitting an image with invalid inputs","","","","Then I click the submit button",""
"passed","Wed Apr 17 21:42:55 GMT 2024","Wed Apr 17 21:42:55 GMT 2024","60","Image Registration","Submitting an image with valid inputs using enter key","","","","And the new item should be stored in the localStorage",""
"passed","Wed Apr 17 21:42:56 GMT 2024","Wed Apr 17 21:42:56 GMT 2024","11","Image Registration","Submitting an image and updating the list","","","","Then The inputs should be cleared",""
"passed","Wed Apr 17 21:42:56 GMT 2024","Wed Apr 17 21:42:56 GMT 2024","380","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Then I have submitted an image by clicking the submit button",""
"passed","Wed Apr 17 21:42:54 GMT 2024","Wed Apr 17 21:42:55 GMT 2024","589","Image Registration","Submitting an image with valid inputs using enter key","","","","Then I can hit enter to submit the form",""
"passed","Wed Apr 17 21:42:59 GMT 2024","Wed Apr 17 21:43:01 GMT 2024","1392","Image Registration - Page Objects - Section","Submit image with enter key","","","","Submitting an image with valid inputs using enter key",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","12","Image Registration","Submitting an image with invalid inputs","","","","Then I enter """" in the URL field",""
"passed","Wed Apr 17 21:43:01 GMT 2024","Wed Apr 17 21:43:03 GMT 2024","1195","Image Registration - Page Objects - Section","Refreshing the page after submitting","","","","Refreshing the page after submitting an image clicking in the submit button",""
"passed","Wed Apr 17 21:42:56 GMT 2024","Wed Apr 17 21:42:56 GMT 2024","115","Image Registration","Submitting an image and updating the list","","","","And the new item should be stored in the localStorage",""
"passed","Wed Apr 17 21:42:54 GMT 2024","Wed Apr 17 21:42:54 GMT 2024","79","Image Registration","Submitting an image with valid inputs using enter key","","","","Then I should see a check icon in the fields",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","35","Image Registration","Submitting an image with invalid inputs","","","","Then I should see ""Please type a title for the image"" message above the title field",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","22","Image Registration","Submitting an image with invalid inputs","","","","And I should see ""Please type a valid URL"" message above the imageUrl field",""
"passed","Wed Apr 17 21:42:55 GMT 2024","Wed Apr 17 21:42:56 GMT 2024","82","Image Registration","Submitting an image and updating the list","","","","Then I click the submit button",""
"passed","Wed Apr 17 21:42:55 GMT 2024","Wed Apr 17 21:42:55 GMT 2024","18","Image Registration","Submitting an image with valid inputs using enter key","","","","Then The inputs should be cleared",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","65","Image Registration","Submitting an image with invalid inputs","","","","And I should see an exclamation icon in the title and URL fields",""
"passed","Wed Apr 17 21:43:01 GMT 2024","Wed Apr 17 21:43:01 GMT 2024","797","Image Registration - Page Objects - Section","Update List","","","","Submitting an image and updating the list",""
"passed","Wed Apr 17 21:42:55 GMT 2024","Wed Apr 17 21:42:55 GMT 2024","203","Image Registration","Submitting an image with valid inputs using enter key","","","","And the list of registered images should be updated with the new item",""
"passed","Wed Apr 17 21:42:59 GMT 2024","Wed Apr 17 21:42:59 GMT 2024","411","Image Registration - Page Objects - Section","Invalid inputs","","","","Submitting an image with invalid inputs",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","395","Image Registration","Submitting an image with invalid inputs","","","","Given I am on the image registration page",""
"passed","Wed Apr 17 21:42:56 GMT 2024","Wed Apr 17 21:42:57 GMT 2024","549","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","When I refresh the page",""
"passed","Wed Apr 17 21:42:56 GMT 2024","Wed Apr 17 21:42:56 GMT 2024","46","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Given I am on the image registration page",""
"passed","Wed Apr 17 21:42:56 GMT 2024","Wed Apr 17 21:42:56 GMT 2024","260","Image Registration","Submitting an image and updating the list","","","","And the list of registered images should be updated with the new item",""
"passed","Wed Apr 17 21:42:53 GMT 2024","Wed Apr 17 21:42:53 GMT 2024","18","Image Registration","Submitting an image with invalid inputs","","","","When I enter """" in the title field",""
